epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,7217.42,1.32653,0.52053,1.3953,0.97866,0.97681,0.99367,0.68504,1.12183,0.37308,1.32569,0.0092179,0.0092179,0.0092179
81,7307.88,1.33001,0.52424,1.40247,0.97528,0.9803,0.99358,0.68527,1.12137,0.37491,1.32471,0.009208,0.009208,0.009208
82,7398.14,1.33528,0.52528,1.39691,0.97644,0.98225,0.99355,0.68646,1.11993,0.37508,1.32359,0.0091981,0.0091981,0.0091981
83,7488.6,1.33306,0.52567,1.40077,0.97737,0.98343,0.99363,0.68662,1.1194,0.3743,1.32348,0.0091882,0.0091882,0.0091882
84,7579.34,1.3286,0.52089,1.39276,0.97646,0.98159,0.99374,0.68739,1.11771,0.37646,1.32253,0.0091783,0.0091783,0.0091783
85,7669.64,1.32465,0.52035,1.39245,0.97687,0.98107,0.99377,0.68677,1.11593,0.37655,1.32126,0.0091684,0.0091684,0.0091684
86,7760.16,1.32975,0.52664,1.39655,0.97761,0.98159,0.99377,0.68935,1.1152,0.37922,1.32124,0.0091585,0.0091585,0.0091585
87,7850.64,1.33436,0.51485,1.39789,0.97764,0.98301,0.99381,0.68844,1.11359,0.37974,1.31996,0.0091486,0.0091486,0.0091486
88,7941.04,1.32671,0.51831,1.39412,0.97765,0.98343,0.99386,0.68748,1.1124,0.37912,1.319,0.0091387,0.0091387,0.0091387
89,8031.27,1.33088,0.52298,1.39242,0.97711,0.98343,0.9939,0.69064,1.11219,0.37647,1.31888,0.0091288,0.0091288,0.0091288
90,8121.71,1.33129,0.52592,1.39663,0.97908,0.98225,0.9939,0.69097,1.11116,0.37453,1.31789,0.0091189,0.0091189,0.0091189
91,8212.1,1.32598,0.51958,1.389,0.97932,0.98225,0.99387,0.6913,1.11004,0.37354,1.31699,0.009109,0.009109,0.009109
92,8302.51,1.34036,0.5176,1.40559,0.97992,0.98107,0.99388,0.69338,1.1093,0.37206,1.31652,0.0090991,0.0090991,0.0090991
93,8392.77,1.32857,0.51335,1.39452,0.97773,0.97988,0.99379,0.69191,1.10912,0.37229,1.31639,0.0090892,0.0090892,0.0090892
94,8482.93,1.33246,0.51984,1.39774,0.9768,0.98225,0.99379,0.69355,1.10755,0.37254,1.31535,0.0090793,0.0090793,0.0090793
95,8573.19,1.33025,0.5174,1.39878,0.9765,0.98336,0.99375,0.69238,1.1067,0.37138,1.3148,0.0090694,0.0090694,0.0090694
96,8663.28,1.33246,0.52063,1.40286,0.97537,0.98343,0.99377,0.69311,1.10631,0.37058,1.31465,0.0090595,0.0090595,0.0090595
97,8753.81,1.33186,0.5203,1.39252,0.97503,0.98343,0.99375,0.69247,1.10548,0.37002,1.31452,0.0090496,0.0090496,0.0090496
98,8843.97,1.31993,0.51937,1.39359,0.9753,0.98142,0.99371,0.69334,1.1049,0.37259,1.31424,0.0090397,0.0090397,0.0090397
99,8934.14,1.32231,0.52082,1.39112,0.9753,0.98136,0.99369,0.69214,1.1052,0.37188,1.31431,0.0090298,0.0090298,0.0090298
100,9024.45,1.3301,0.51828,1.40389,0.98151,0.97278,0.99367,0.69112,1.10487,0.37104,1.31431,0.0090199,0.0090199,0.0090199
101,9114.74,1.31793,0.52031,1.3935,0.983,0.97278,0.99363,0.69204,1.10469,0.37025,1.31409,0.00901,0.00901,0.00901
